"#","Performer","Title","Inst.","Style","Year","Tempo","Tones","NA","NA","Inst"
"100","Coleman Hawkins","Sophisticated Lady","ts","Swing","1949","67.6",696,"Score","JazzTube","ts"
"101","Coleman Hawkins","Stompin’ at the Savoy","ts","Swing","1954","250.2",346,"Score","JazzTube","ts"
"102","Curtis Fuller","Blue Train","tb","Hardbop","1957","131.8",382,"Score","JazzTube","tb"
"103","Curtis Fuller","Down Under","tb","Hardbop","1961","147.4",119,"Score","JazzTube","tb"
"104","David Liebman","Begin the Beguine","ss","Postbop","1988","120.1",319,"Score","JazzTube","ss"
"105","David Liebman","Day & Nite","ss","Postbop","1988","244.9",819,"Score","JazzTube","ss"
"106","David Liebman","I’ve Got You Under My Skin","ss","Postbop","1988","256.2",914,"Score","JazzTube","ss"
"107","David Liebman","Milestones","ss","Postbop","1992","312.0",502,"Score","JazzTube","ss"
"108","David Liebman","Nica’s Dream","ss","Postbop","1992","151.2",656,"Score","JazzTube","ss"
"109","David Liebman","No Greater Love","ts","Postbop","1996","209.1",380,"Score","JazzTube","ts"
"110","David Liebman","Pablo’s Story","ss","Postbop","1988","144.2",712,"Score","JazzTube","ss"
"111","David Liebman","Pendulum","ss","Postbop","1988","258.6",677,"Score","JazzTube","ss"
"112","David Liebman","Secret Love","ts","Postbop","1996","272.7",642,"Score","JazzTube","ts"
"113","David Liebman","Softly as in a Morning Sunrise","ss","Postbop","1988","260.7",1098,"Score","JazzTube","ss"
"114","David Liebman","There Will Never Be Another You","ts","Postbop","1996","151.7",799,"Score","JazzTube","ts"
"115","David Murray","Ask Me Now","ts","Postbop","1991","131.2",281,"Score","JazzTube","ts"
"116","David Murray","Blues for Two","ts","Postbop","1990","60.4",1302,"Score","JazzTube","ts"
"117","David Murray","Blues for Two (2)","ts","Postbop","1990","61.3",124,"Score","JazzTube","ts"
"118","David Murray","Body and Soul","ts","Postbop","1983","65.9",564,"Score","JazzTube","ts"
"119","David Murray","Body and Soul (2)","ts","Postbop","1983","65.1",146,"Score","JazzTube","ts"
"120","David Murray","Chelsea Bridge","ts","Postbop","1990","53.0",588,"Score","JazzTube","ts"
"121","Dexter Gordon","Cheese Cake","ts","Hardbop","1962","220.9",588,"Score","JazzTube","ts"
"122","Dexter Gordon","Dextivity","ts","Bebop","1947","93.2",348,"Score","JazzTube","ts"
"123","Dexter Gordon","Montmartre","ts","Hardbop","1969","204.2",680,"Score","JazzTube","ts"
"124","Dexter Gordon","Society Red","ts","Hardbop","1961","113.7",1037,"Score","JazzTube","ts"
"125","Dexter Gordon","Stanley the Steamer","ts","Hardbop","1969","181.2",777,"Score","JazzTube","ts"
"126","Dexter Gordon","The Rainbow People","ts","Hardbop","1969","120.0",719,"Score","JazzTube","ts"
"127","Dickie Wells","After Theatre Jump","tb","Swing","1944","173.5",158,"Score","JazzTube","tb"
"128","Dickie Wells","Destination K.C.","tb","Swing","1944","249.1",129,"Score","JazzTube","tb"
"129","Dickie Wells","Dickie’s Dream","tb","Swing","1939","229.4",109,"Score","JazzTube","tb"
"130","Dickie Wells","I Got Rhythm","tb","Swing","1944","243.4",236,"Score","JazzTube","tb"
"131","Dickie Wells","Jo-Jo","tb","Swing","1944","183.4",114,"Score","JazzTube","tb"
"132","Dickie Wells","Six Cats and a Prince","tb","Swing","1944","217.6",124,"Score","JazzTube","tb"
"133","Dizzy Gillespie","Anthropology","tp","Bebop","1946","245.7",158,"Score","JazzTube","tp"
"134","Dizzy Gillespie","Be-Bop","tp","Bebop","1945","290.2",536,"Score","JazzTube","tp"
"135","Dizzy Gillespie","Blue ‘n Boogie","tp","Bebop","1945","204.4",305,"Score","JazzTube","tp"
"136","Dizzy Gillespie","Cognac Blues","tp","Bebop","1952","113.6",150,"Score","JazzTube","tp"
"137","Dizzy Gillespie","Groovin’ High","tp","Bebop","1945","181.9",442,"Score","JazzTube","tp"
"138","Dizzy Gillespie","Hot House","tp","Bebop","1945","171.1",217,"Score","JazzTube","tp"
"139","Don Byas","Be-Bop","ts","Bebop","1945","288.6",336,"Score","JazzTube","ts"
"140","Don Byas","Body and Soul","ts","Swing","1947","98.6",723,"Score","JazzTube","ts"
"141","Don Byas","Cognac Blues","ts","Swing","1952","115.9",193,"Score","JazzTube","ts"
"142","Don Byas","Harvard Blues","ts","Swing","1945","98.5",72,"Score","JazzTube","ts"
"143","Don Byas","Harvard Blues (2)","ts","Swing","1945","99.3",122,"Score","JazzTube","ts"
"144","Don Byas","Infidele (Cry)","ts","Swing","1952","120.1",253,"Score","JazzTube","ts"
"145","Don Byas","Out of Nowhere","ts","Swing","1945","55.5",267,"Score","JazzTube","ts"
"146","Don Byas","Un Amour Pleurait","ts","Swing","1952","106.0",298,"Score","JazzTube","ts"
"147","Don Ellis","I Love You","tp","Postbop","1961","146.9",305,"Score","JazzTube","tp"
"148","Don Ellis","Johnny Come Lately","tp","Postbop","1962","211.3",298,"Score","JazzTube","tp"
"149","Don Ellis","Out of Nowhere","tp","Postbop","1961","151.9",229,"Score","JazzTube","tp"
"150","Don Ellis","Sweet and Lovely","tp","Postbop","1961","134.1",331,"Score","JazzTube","tp"
"151","Don Ellis","You Stepped Out of a Dream","tp","Postbop","1961","199.5",177,"Score","JazzTube","tp"
"152","Don Ellis","You Stepped Out of a Dream (2)","tp","Postbop","1961","168.9",118,"Score","JazzTube","tp"
"153","Eric Dolphy","245","as","Postbop","1960","71.2",730,"Score","JazzTube","as"
"154","Eric Dolphy","Aisha","as","Postbop","1961","62.9",379,"Score","JazzTube","as"
"155","Eric Dolphy","Dahomey Dance","as","Postbop","1961","128.9",552,"Score","JazzTube","as"
"156","Eric Dolphy","Les","as","Postbop","1960","235.4",502,"Score","JazzTube","as"
"157","Eric Dolphy","On Green Dolphin Street","bcl","Postbop","1960","172.5",567,"Score","JazzTube","bcl"
"158","Eric Dolphy","Serene","bcl","Postbop","1960","75.2",600,"Score","JazzTube","bcl"
"159","Fats Navarro","Anthropology (No1)","tp","Bebop","1948","300.7",379,"Score","JazzTube","tp"
"160","Fats Navarro","Double Talk","tp","Bebop","1948","225.8",660,"Score","JazzTube","tp"
"161","Fats Navarro","Good Bait (Alternate Take)","tp","Bebop","1948","146.2",261,"Score","JazzTube","tp"
"162","Fats Navarro","Good Bait","tp","Bebop","1948","147.4",298,"Score","JazzTube","tp"
"163","Fats Navarro","Our Delight","tp","Bebop","1948","200.7",208,"Score","JazzTube","tp"
"164","Fats Navarro","The Skunk","tp","Bebop","1948","163.8",162,"Score","JazzTube","tp"
"165","Freddie Hubbard","245","tp","Postbop","1960","73.0",439,"Score","JazzTube","tp"
